job_id;company_name;title;max_salary;pay_period;location;company_id;views;med_salary;min_salary;formatted_work_type;applies;original_listed_time;remote_allowed;job_posting_url;application_type;expiry;closed_time;formatted_experience_level;skills_desc;listed_time;sponsored;work_type;currency;compensation_type;normalized_salary;zip_code;fips;salary_id;industry_id;skill_readable;name;description_company;state;country;city;zip_code_company;address;industry
9615617;Glastender, Inc.;Inside Customer Service Associate;0;NOT SPECIFIED;Saginaw, MI;11943360;40;0;0;Full-time;10;1,71E+13;;https://www.linkedin.com/jobs/view/9615617/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;The Production Supervisor must possess strong leadership skills with a demonstrated ability to organize a team and its production processes to meet specific targets. A college degree and/or five to seven years related work experience is required. Knowledge of lean manufacturing concepts is also required. This person should also posses excellent communication and organizational skills. Computer competency is necessary, as well as good presentation and training skills.;1,71E+13;0;FULL_TIME;;;;486010;261450;;;;Confidential Company;;;;;;;Unknown Industry
11009123;PGAV Destinations;Project Architect;0;NOT SPECIFIED;St Louis, MO;934560;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/11009123/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;633670;291830;;;;Confidential Company;;;;;;;Unknown Industry
56482768;;Appalachian Highlands Women's Business Center;0;NOT SPECIFIED;Kingsport, TN;;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/56482768/?trk=jobs_biz_prem_srch;SimpleOnsiteApply;1,72E+13;;;Skills/Qualifications: Two-year or four-year degree in business or marketing and 0—2 years of previous experience. Position requires outstanding verbal skills and the ability to handle multiple tasks. Must be proficient in Microsoft Word, Outlook, Excel, Power Point, and Constant Contact. Social media knowledge and some graphic design skills would be a definite advantage. ;1,71E+13;0;FULL_TIME;;;;376600;471630;;;;Confidential Company;;;;;;;Unknown Industry
56924323;;Structural Engineer;0;NOT SPECIFIED;San Mateo, CA;;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/56924323/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;Job Overview: Manage a project from start to finish under the supervision of a S.E. Manage personnel assisting in the project. Collaborate with fellow engineers to provide the most efficient, cost effective design. Understanding of current building codes. Work with the following software: Lpile, Risa, Ramsteel, Enercalc, Excel and similar software. Work with Architects and Contractors to discuss project requirements and quickly resolve issues. Analyze, design and detail structures, respond to plan check comments and manage construction administration. Perform field visits to document existing structures. Write reports. Perform field visit to fill out ASCE 31 checklists and analyze building buildings per ASCE 31 and ASCE 41.;1,71E+13;0;FULL_TIME;;;;944010;60810;;;;Confidential Company;;;;;;;Unknown Industry
69333422;Staffing Theory;Senior Product Marketing Manager;0;NOT SPECIFIED;United States;270979330;20;0;0;Full-time;0;1,71E+13;10;https://www.linkedin.com/jobs/view/69333422/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
83789755;OsteoStrong;Osteogenic Loading Coach;0;NOT SPECIFIED;Anchorage, AK;38104320;40;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/83789755/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;995010;20200;;;;Confidential Company;;;;;;;Unknown Industry
95428182;CLEVELAND KIDS BOOK BANK;Administrative Coordinator;0;HOURLY;Cleveland, OH;556243310;10;250;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/95428182/?trk=jobs_biz_prem_srch;OffsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;520000;441020;390350;;;;Confidential Company;;;;;;;Unknown Industry
103860943;;Customer Service / Reservationist;190;HOURLY;Providence, RI;;30;0;180;Part-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/103860943/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;PART_TIME;USD;BASE_SALARY;384800;29030;440070;;;;Confidential Company;;;;;;;Unknown Industry
111513530;United Methodists of Greater New Jersey;Content Writer, Communications;0;NOT SPECIFIED;Greater Philadelphia;40288160;100;0;0;Full-time;10;1,71E+13;;https://www.linkedin.com/jobs/view/111513530/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
115639136;Shannon Waltchack;Controller;0;NOT SPECIFIED;Birmingham, AL;9885550;610;0;0;Full-time;40;1,71E+13;;https://www.linkedin.com/jobs/view/115639136/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;Strong interpersonal communication skills and strong organizational skills are a must. Must be proficient in Microsoft Word, Excel and have excellent computer skills.;1,71E+13;0;FULL_TIME;;;;352030;10730;;;;Confidential Company;;;;;;;Unknown Industry
117675818;Premier Family Clinic;Physician Assistant;0;NOT SPECIFIED;Atlanta, GA;42859470;290;0;0;Contract;10;1,71E+13;;https://www.linkedin.com/jobs/view/117675818/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;CONTRACT;;;;303030;131210;;;;Confidential Company;;;;;;;Unknown Industry
